#page	num	CH	OJ	OC	LH	EMC	LMC	GO	KN	NOM	SV	SK	LH
41	68	泥	de	*nî	nei	niei	ndiaj	nai	dei	nệ, nè, nể, nề	nê, nệ	ni	nei
42	69	埿	de	*nî	nei	niei	ndiaj	nai	dei	nệ, nè, nể, nề	nê, nệ	ni	nei
42	70	涅	de	*nît	net	niet		neti	detu	nát, nít, nét	nát, niết	nal, nyel	net
43	71	耐	de	*nə̂h	nəh	nậih	ndəj	nai, nou	tai, tou	nài, nại	nại	nay	nəh
43	72	遲	di	*drih	ḍih	ḍi		di	ti	chầy, trì	chì, trì	ci	ḍih
44	73	治	di	*drə(h)	ḍiə(h)	ḍɨ(h)		di	ti	chệ, trị	trì, trị	chi	ḍiə(h)
45	74	地	di	*draih	dih	dih		di	ti	địa	địa	ti	dih
45	75	尼	di	*nri	ṇi	ṇi	ndri	ni	di	nầy, ni, nơi, SV: ni, nậc		ni, nil	ṇi
45	76	泥	di	*nî or *nîh	nei or neih	niei	ndiaj	nai	dei	nê, nệ, nè, nể	nê, nệ	ni	nei or neih
45	77	旎	di	*nrê	ṇe	ṇjeh	ndeyh	ni	di	---	nỷ	ni	ṇe
46	78	膩	di	*nris	ṇis	ṇih	ndrih	ni	di	---	nhị	ni	ṇis
46	79	道	di	*lûʔ	douʔ	dâuʔ		dau	tau	đạo, dạo	đáo, đạo	two	douʔ
46	80	路	di	*râkh	lah	luoh		ro	ro	lộ, trò	lộ	rwo	lah
46	81	縢	do	*l̂ŋ	dəŋ	dəŋ		dou	tou	---	đằng	tung	dəŋ
47	82	I	do	*draʔ	ḍiɑʔ	ḍjwoʔ		dyo	tyo	trữ	chữ	cye	ḍiɑʔ
48	83	騰	do	*l̂ŋ	dəŋ	dəŋ		dou	tou	---	đằng	tung	dəŋ
48	84	藤	do	*lə̂ŋ	dəŋ	dəŋ		dou	tou	đằng	đằng	tung	dəŋ
48	85	特	do	*də̂k	dək	dək	tɦəək	doku	toku	đực, đựợc	đặc	thuk	dək
48	86	耐	do	*n̂h	nəh	nậih	ndəj	nai, nou	tai, tou	---	nại	nay	nəh
49	87	迺	do	*n̂ʔ	nəʔ	nậiʔ	ndəj	nai	dai	---	nãi	nay	nəʔ
49	88	頭	du	*dô	do	dəu		du	tu	đầu	đầu	twu	do
50	89	豆	du	*dôh	doh	dəuh		du	tu	đậu	đậu	twu	doh
51	90	逗	du	---	doh	dəuh	tɦəw	du	tou	đậu	đậu	twu	doh
51	91	圖	du	*dâ	dɑ	duo	tɦuə	du	to	đồ	đồ	two	dɑ
52	92	弩	du	*nâʔ	nɑʔ	nuoʔ	ndoʔ	no, nu	do	nỗ, nỏ	nỗ	nwo	nɑʔ
52	93	砮	du	*nâ or nâʔ	nɑ, naʔ	nuo, nuoʔ	ndo	no, nu	do	---	nỗ	nwo	nɑ, naʔ
52	94	曇	dumi, domo	---	dəm	dəm		domu	ton	---	đàm	tam	dəm
52	95	土	dwo	*thâʔ	thɑʔ	thuoʔ		to	to	thổ	thổ	thwo, twu	thɑʔ
52	96	度	dwo	*dakh	dɑh	duoh	tɦuə	do	to	độ, đo, đụ	độ	two	dɑh
53	97	渡	dwo	*dakh	dɑh	duoh	tɦuə	do	to	đò	độ	two	dɑh
53	98	奴	dwo	*nâ	nɑ	nuo	ndɔ	nu	do	nô, no, nó	nô	now	nɑ
53	99	E	dwo	*nah or *naʔ	nɑh, naʔ	nuoh	ndɔ	nu	do	nộ, nủa, nọ, nua	nộ	nwo	nɑh, naʔ
54	100	衣	e	*ʔəi	*ʔɨi	ʔɨj		e	i	y, e, ì	y, ý	uy	*ʔɨi
54	101	愛	e	*̂ts	*ʔəs > ʔəh	ʔəj	ʔaj	ai	ai	ái	ái	oy	*ʔəs > ʔəh
55	102	亞	e	*ʔah or *ʔrâh	ʔah	ʔaɨ > ʔɛ: SV: á		a	a	á, a		a	ʔah
55	103	依	e	*ʔəi	*ʔɨi	ʔɨj		e	i	y	y	uy	*ʔɨi
55	104	哀	e	*ʔ̂i	*ʔəi	ʔəj	ʔaj	ai	ai	ai	ai	oy	*ʔəi
56	105	埃	e	*ə̂	iə	ʔəj	ʔaj	ai	ai	ai	ai	ay	iə
56	106	榎	e	*krâh	kah	kaɨ > kɛ: SV: giá		ke	ka	giá, giả, hạ		ka	kah
56	107	荏	e	*nəmʔ	ńimʔ	nyim		nimu	zimu	nhẫm	nhẫm	im	ńimʔ
57	108	得	e	*tə̂k	tək	tək		toku	toku	đắc, đác	đắc	tuk	tək
57	109	朴	e	*phok	pok	phaɨwk		foku	faku	phác, phắc, vóc	phác	pak	pok
57	110	G	e	---	---	---		---	---	---	---	---	---
58	111	我	ga	*ŋâiʔ	ŋɑiʔ	ŋa		ga	ga	ngã, ngả	ngã	a	ŋɑiʔ
59	112	奇	ga	*kai	kɨɑi	ɡiə		ki	ki	cả, cơ, ký	cơ, ký	kuy	kɨɑi
59	113	宜	ga	*ŋai	ŋɨɑi	ŋiă		gi	gi	---	nghi	uy	ŋɨɑi
59	114	賀	ga	*ɡâih	ɡɑih	ɣa	xɦa	ga	ka	hạ	hạ	ha	ɡɑih
60	115	何	ga	*ɡâi	ɡai	ɣa		ga	ka	hà	hà	ha	ɡai
60	116	河	ga	*ɡâi	ɡɑi	ɣa		ga, gaa	ka	hà	hà	ha	ɡɑi
60	117	蛾	ga	*ŋâi	ŋɑi	ŋa		ga	ga	---	nga	a	ŋɑi
61	118	餓	ga	*ŋâih	ŋɑih	ŋa		ga	ga	---	nga, ngã	a	ŋɑih
61	119	峨	ga	*ŋâi	ŋai	ŋa	ŋa	ga	ga	---	nga	a	ŋai
61	120	俄	ga	*ŋâi	ŋɑi	ŋa	ŋa	ga	ga	nga	nga	a	ŋɑi
62	121	鵝	ga	*ŋâi	ŋɑi	ŋa	ŋa	ga	ga	---	nga	a	ŋɑi
62	122	義	ge	*ŋaih	ŋɨɑih	ŋia		gi	gi	nghĩa, nghì	nghĩa	uy	ŋɨɑih
63	123	宜	ge	*ŋai	ŋɨɑi	ŋia		gi	gi	nghi, nghí, ngơi	nghi	uy	ŋɨɑi
64	124	礙	ge	*ŋ̂kh	ŋəh	ŋəj		gai	gai	ngại	ngại	ay	ŋəh
64	125	碍	ge	*ŋ̂kh	ŋəh	ŋəj		gai	gai	ngại	ngại	ay	ŋəh
65	126	㝵	ge	*ŋ̂kh	ŋəh	ŋəj		gai	gai	ngại	ngại	ay	ŋəh
65	127	皚	ge	---	---	ŋəj	ŋaj	gai	gai	ngai	ngai	ay	---
65	128	祇	gi	*ke	kie, ɡɨi	ɡjiə		gi	ki	chỉ	ký, khì, kì	ki	kie, ɡɨi
65	129	藝	gi	*ŋets	ŋias	ŋjiaj		gei	gei	nghệ, nghề	nghệ	yey	ŋias
66	130	儀	gi	*ŋai	ŋɨɑi	ŋia	ŋi	gi	gi	nghi, nghì	nghi	uy	ŋɨɑi
66	131	蟻	gi	*ŋaiʔ	ŋɨɑiʔ	ŋia	ŋi	gi	gi	---	nghĩ, nghị	uy	ŋɨɑiʔ
67	132		gi	*ɡri	ɡɨ	ɡji		gi	ki	---	kỳ	ki	ɡɨ
67	133	其	go	*ɡə	ɡɨə	ɡɨ		gi	ki	cà	kỳ, kì	ki, kuy	ɡɨə
68	134	期	go	*ɡə or *kə	ɡɨə, kɨə	ɡɨ, kɨ		go, gi	ki	kỳ, cờ	kỳ, kì	kuy	ɡɨə, kɨə
69	135	碁	go	*ɡə	ɡɨə	ɡɨ		go, gi	ki	cời	kỳ, kì	kuy	ɡɨə
69	136	凝	go	*ŋəŋ	ŋɨəŋ	ŋiŋ		gou	gyou	ngâng, ngững	ngưng	ung	ŋɨəŋ
70	137	語	go	*ŋaʔ or *ŋah	ŋɨɑʔ or ŋɨɑh	ŋɨa	ŋya	go	gyo	ngỡ, ngữ, ngữa	ngữ, ngự	e	ŋɨɑʔ or ŋɨɑh
70	138	馭	go	*ŋah	ŋîɑ	ŋɨa	ŋya	go	gyo	ngựa	ngự	e	ŋîɑ
70	139	御	go	*ŋah	ŋɨɑh	ŋɨa	ŋya	go	gyo	ngự, ngợ	ngự	e, a	ŋɨɑh
71	140	具	gu	*ɡoh	ɡuoh	ɡju		gu	ku	cự	cự	kwu	ɡuoh
72	141	吾	gu	*ŋâ	ŋɑ			gu	go	ngo	ngô	wo	ŋɑ
72	142	遇	gu	*ŋoh	ŋɨoh	ŋua		gu	guu	ngộ	ngộ	wu	ŋɨoh
72	143	娯	gu	*ŋwa	ŋyɑ > ŋuɔ	ŋua	ŋya	gu	go	ngu	ngụ, ngu	wu	ŋyɑ > ŋuɔ
73	144	求	gu	*ɡu	ɡu	ɡuw		gu	kyuu	càu, cầu	cầu	kwu	ɡu
73	145	隅	gu	*ŋo	ŋɨo	ŋua		gu	guu	ngu	ngu, ngung	wu	ŋɨo
73	146	愚	gu	*ŋo	ŋɨo	ŋua		gu	guu	ngu	ngu	wu	ŋɨo
74	147	虞	gu	*ŋwa	ŋyɑ	ŋua	ŋya	gu	gu	---	ngu	wu	ŋyɑ
74	148	群	guri	*ɡun	ɡun	ɡun		gumu	kun	quần, quằn	quần	kun	ɡun
74	149	疑	gwi	*ŋə	ŋɨə	ŋjɨ		gi	gi	ngờ, nghi	nghi	uy, ung, ul, ek	ŋɨə
75	150	宜	gwi	*ŋai	ŋɨɑi	ŋia		gi	gi	---	nghi	uy	ŋɨɑi
75	151	義	gwi	*ŋaih	ŋɨɑih	ŋia		gi	gi	nghĩa, nghì	nghĩa	uy	ŋɨɑih
76	152	擬	gwi	*ŋəʔ	ŋɨəʔ	nɨʔ	ŋi	gi	gi	nghĩ	nghĩ	uy	ŋɨəʔ
76	153	吾	gwo	*ŋâ	ŋɑ > ŋɔ	ŋɔ		gu	go	ngo	ngô	wo	ŋɑ > ŋɔ
77	154	胡	gwo, kwo	*ɡâ	ɡɑ > ɡɔ	ɣɔ	xɦuə	go	ko	hò, hồ	hồ	hwo	ɡɑ > ɡɔ
78	155	候	gwo	*ɡô	ɡo	ɣəw		go	kou	hầu	hầu, hậu	wo	ɡo
79	156	後	gwo	*ɡôʔ or *ɦôʔ	ɡoʔ or ɣoʔ	ɣəw		go	kou	hậu	hậu	wo	ɡoʔ or ɣoʔ
79	157	虞	gwo	*ŋwa	ŋyɑ	ŋua		go	gu	---	ngu	wu	ŋyɑ
79	158	誤	gwo	*ŋwâh	ŋuɑh > ŋuoh	ŋɔ	ŋuə	go	go	ngộ	ngộ	wo	ŋuɑh > ŋuoh
79	159	呉	gwo	*ŋwâ	ŋuɑ > ŋuɔ	ŋɔ		gu	go	ngo	ngô	wo	ŋuɑ > ŋuɔ
80	160	悟	gwo	*ŋâh	ŋɑh > ŋɔ	ŋɔ	ŋuə	go	go	ngộ	ngộ	wo	ŋɑh > ŋɔ
80	161	娯	gwo	*ŋwa	ŋyɑ > ŋuɔ	ŋua	ŋya	go	go	ngu	ngụ, ngu	wu	ŋyɑ > ŋuɔ
80	162	下	gye	*ɡrâʔ	ɡaʔ	ɣɛ: GO: ge			ka	hạ	há, hạ	ha	ɡaʔ
81	163	牙	gye	*ŋrâ	ŋa	ŋɛ: GO: ge			ga	nha, ngà	nha	a	ŋa
81	164	介	gye	*krê(t)s	kɛs	kɛ:j		ke	kai	giới	giới	kay, kal	kɛs
81	165	雅	gye	*ŋrâʔ	ŋaʔ	ŋɛ: GO: ga			ge	nhá, nhã	nhã, nha	a	ŋaʔ
82	166	夏	gye	*ɡrâʔ	ɡaʔ	ɣɛ: GO: ge			ka	hạ	hạ	ha	ɡaʔ
82	167	I	gye	*ŋê or *ŋêt	ŋe or ŋet	ŋɛj	ŋjiaj	gei	gei	nghi, mống	nghê	yey, yek	ŋe or ŋet
83	168	伊	i	*ʔi	*ʔi	ʔji		i	i	y	y	i	*ʔi
84	169	夷	i	*l(ə)i	ji	ji		i	i	dì, di, dai	di	i	ji
84	170	移	i	*lai	*jɑi	jiă	ji	i	i	dời, dây, dê	di, dị	i	*jɑi
85	171	已	i	*ləʔ	jəʔ	jɨ > ji		i	i	dĩ	dĩ	i	jəʔ
85	172	異	i	*ləkh	jəh	jɨ > ji	ji	i	i	dị	dị	i	jəh
86	173	以	i	*ləʔ		jɨ	ji	i	i	dĩ	dĩ	i	
86	174	怡	i	*lə	jə	jɨ	ji	i	i	di	di	i	jə
86	175	易	i	*lekh or *lek	jeh or jek			i, yaku	i, eki	dịch, diệc, dễ	dị, dịch	i, yek	jeh or jek
87	176	射	i	*m-lak or *m-lakh	źak, źah	jiajk, jia		yaku, ya, zia	eki, ya, sia	xạ	xạ	sya, syek, ya	źak, źah
87	177	五	i	*ŋâʔ	ŋɑʔ	ŋɔ		go	go	ngũ	ngô, ngũ	wo	ŋɑʔ
87	178	膽	i	*tâmʔ	tɑmʔ	tam		tamu	tamu	đảm	đảm	tam	tɑmʔ
87	179		i	---	---	---		---	---	---	---	---	---
88	180	因	ina	*ʔin	ʔin	ʔjin		imu	imu	nhân	nhân	in	ʔin
88	181	印	ini, i	*ʔins	ʔinh	ʔjin		i, imu	in	ấn, in	ấn	in	ʔinh
88	182	揖	ipi, ipu	*tsəp or *tsrəp	tsip	ʔjip		ifu	ifu	ấp, ập, ắp	ấp, tập	up, cup	tsip
89	183	K	iti, i	*ʔit	*ʔit	ʔjit		iti	itu	nhất	nhất	il	*ʔit
90	184	加	ka	*krâi	kai	kaɨ		ka	ka	gia	gia	ka	kai
91	185	居	ka	*kaʔ or *kah	kɨɑ(h)	kɨə		ko	kio	cư	cư	ke, kuy	kɨɑ(h)
92	186	迦	ka	---	ka	kɨa, kaɨ		kia	ka, kia	ca, già, dà	ca, dà	ka	ka
93	187	奇	ka	*kai	kɨɑi	kiə		ki	ki	cả, cơ, kÿ	cơ, kÿ	kuy	kɨɑi
93	188	可	ka	*khaiʔ	khɑiʔ	kha		ka	ka	khả, khá	khả	ka	khɑiʔ
94	189	訶	ka	*haj	hɑi	xa			ka	kha, ha	kha, ha, GO: ka	ka, ha	hɑi
95	190	哥	ka	*kâi	kɑi	ka		ka	ka	ca, kha	ca	ka	kɑi
96	191	介	ka	*krê(t)s	kɛs	kəɨj > kɛ:j		kai, ke	kai	giới	giơi, giới	kay, kal	kɛs
97	192	歌	ka	*kâi	kɑi	ka		ka	ka	ca, cà	ca	ka	kɑi
97	193	哿	ka	*kâiʔ	kɑiʔ	ka		ka	ka	cả	cả	ka	kɑiʔ
97	194	珂	ka	---	khɑi	kha		ka	ka	kha	kha	ka	khɑi
97	195	箇	ka	kâih	kaih	ka		ka	ka	cá, có	cá	ka, ki	kaih
98	196	嘉	ka	*krâi	kai	kaɨ		ke	ka	gia	gia	ka	kai
98	197	架	ka	*kak	kah	kaɨ		ka	ka	giá, gá, dứa	dá, giá	ka	kah
99	198	伽	ka	---	ɡa	ɡɨa	kɦia	ga, gaa	kia	già, nhà	già	ka	ɡa
99	199	迦	ka	*ɡâih	ɡɑih	ɣa	xɦa	ga	ka	hạ	hạ	ha	ɡɑih
100	200	河	ka	*ɡâi	ɡɑi	ɣa	xɦa	ga	ka	hà	hà	ha	ɡɑi
102	201	舸	ka	*khâi	khɑi	ka	ka	ka	ka	---	cả, ca, khả	ka, ki	khɑi
102	202	柯	ka	*kâi	kɑi	ka	ka	ka	ka	---	kha	ka	kɑi
102	203	軻	ka	*khâi	khɑi(h/ʔ)	kha	kha	ka	ka	---	kha	ka	khɑi(h/ʔ)
103	204	香	ka	*haŋ	hɨɑŋ	xɨaŋ		kau	kiyau	hương	hương	hyang	hɨɑŋ
103	205	髪	ka	*pat	puɑt	puat		foti	fatu	---	phát	pal	puɑt
103	206	蚊	ka	*mən	mun	mun		mon	bun	---	văn	mwun	mun
104	207	鹿	ka	*rok	lok	ləwk		roku	roku	---	lộc	lwok	lok
104	208	芳	ka, kagu	*phaŋ	phuɑŋ	phuaŋ		fau	fau	---	phương	pang	phuɑŋ
105	209	歟	ka	*la	jɑ	jɨa		yo	yo	---	dư, rư	ye	jɑ
105	210	香	kago, kagu	*haŋ	hɨɑŋ	xɨaŋ		kau	kiyau	hương	hương	hyang	hɨɑŋ
105	211	各	kaku	*kâk	kɑk	kak		kaku	kaku	các, cắc, gác	các	kak	kɑk
106	212	覺	kaku	*krûk	kɔk	kaɨwk > kœ:wk		kaku, keu	kaku	giác	giác, rác	kak, kwo	kɔk
106	213	甘	kamu	*kam	kɑm	kam		kamu	kamu	cam	cam	kam	kɑm
107	214	含	kamu	*ɡ̂m	ɡəm	ɣəm > ɣam		gamu, gomu	kamu	hàm	ham, hàm	ham	ɡəm
107	215	敢	kamu	*kâmʔ	kɑmʔ	kam		kamu	kamu	cám, cảm, dám	cảm	kam	kɑmʔ
107	216	干	kan, kani	*kân	kɑn	kan		kamu	kan	can, càn, cơn	can	kan	kɑn
108	217	閑	kana	*ɡrên	ɡɛn	ɣəɨn > ɣɛ:n		gemu	kan	nhàn	nhàn	han	ɡɛn
108	218	漢	kani	*hâns	hɑnh	xan		kamu	kan	hán	hán	han	hɑnh
108	219	甲	kapa, kapu	*krâp	kap	kaɨp > kɛ:p		kafu	kafu	giáp, nháp, ráp	giáp	kap	kap
109	220	合	kapi	*ɡə̂p	ɡəp	ɣap	xɦap	gafu	kafu	hợp, hạp, hấp	hợp, hiệp	hap	ɡəp
109	221	韓	kara	*ɡân	ɡan	ɣan	xɦan	gamu	kan	hàn	hàn	han	ɡan
109	222	葛	katu	*kât	kɑt	kat		kati	katu	cát	cát	kal	kɑt
109	223	考	kawa	*khûʔ	khouʔ	khâuʔ		kau	kau	kha	kha	ka	khouʔ
109	224	南	ke	*ka	kɨɑ(h)	kɨə		ko	kio	cư	cư	ke, kuy	kɨɑ(h)
110	225	既	ke	*kəts	kɨs > kɨj	kɨj		ke	ki	---	ký, kí	kuy	kɨs > kɨj
110	226	希	ke	*həi	hɨi	xɨj		ke	ki	hơi	hi, hy	huy	hɨi
111	227	擧	ke	*kaʔ	kɨɑʔ	kɨə		ko	kio	cử, cỡ	cử	ke	kɨɑʔ
111	228	氣	ke	*kə(t)s	kɨs > kɨj	khɨj		ke	ki	khí	khí	kuy	kɨs > kɨj
112	229	戒	ke	*kr̂h	kɛh	kəɨj	kja:j	kai	kai	giới, giái	giới, giái	kyey	kɛh
113	230	開	ke	*khə̂i	khəi	khəj	khaj	kai	kai	khai, khơi	khai	koy	khəi
113	231	該	ke	*kə̂	kə	kəj	kaj	kai	kai	cai, cơi	cai	koy, hoy	kə
113	232	慨	ke	*khə̂s	khəh	khəj	khaj	kai	kai	khới, khái	khái	kay	khəh
114	233	概	ke	*kə̂s	kəh	kəj	kaj	kai	kai	khái	cái	kay	kəh
114	234	凱	ke	*kĥi	khəi	khəj	khaj	kai	kai	ngai	khải	kay	khəi
114	235	愷	ke	*khəjʔ	khəi	khəj	khaj	kai	kai	---	khải	kay	khəi
115	236	階	ke	*krî or *krə̂i	kɛi	kəɨj	kja:j	ke	kai	---	giai	koy, kyey	kɛi
115	237	毛	ke	*mhaw	mau	maw		mou	bou	mao, mau	mao	mwo	mau
116	238	食	ke	*m-lək	źɨk	ʑik		ziki	sioku	thực	tự, thực	sik	źɨk
116	239	飼	ke	*s-ləkh	ziəh	ʑɨ		zi	si	---	tư	so	ziəh
116	240	消	ke	*siau	siau	siaw		seu	seu	tiêu, teo	tiêu	sywo	siau
117	241	笥	ke	*səh	siəh	sɨ		si	si	---	tư, tứ	so	siəh
117	242	支	ki	*ke	ɣuɑk-kai-tɑi-kie-lɔʔ > Waka	tɕia		si	si	chi, giê, xài, xê	chi	ci	ɣuɑk-kai-tɑi-kie-lɔʔ > Waka
118	243	耆	ki	*ɡri	ɡɨ	ɡji		gi	ki	---	kỳ, kì, kỉ	ki, ci	ɡɨ
118	244	岐	ki	*ɡe	ɡie	ɡjie		gi	ki	---	kỳ, kì	ki	ɡie
119	245	吉	ki, kiti	*kit	kit	kjit		kiti	kitu	kiết, cát	cát	kil	kit
121	246	枳	ki	*keʔ	kieʔ	tɕia		ki	ki	---	chỉ	ki, ci	kieʔ
121	247	棄	ki	*khis or *khits	khis	khij		ki	ki	---	khí	ki	khis
122	248	伎	ki	*ke	kie	ɡiə		gi	ki	---	kĩ, kỹ	ki	kie
123	249	企	ki	*kheʔ or *kheh	khieʔ, khieh	khjiə		ki	ki	xí	khí, xí	ki	khieʔ, khieh
124	250	祇	ki	*ke	kie, gɨi	ɡjiə	kɦji	gi	ki	---	kỳ, khì, kì	ki	kie, gɨi
124	251	祁	ki	*ɡij	ɡɨ	ɡji	kɦji	gi	ki	---	kỳ, kì	kuy	ɡɨ
124	252	來	ki	*rə	lə	ləj		rai	rai	lai, lơi, lay	lai	lai	lə
